node,event,sequence,frame_id,queue_size,queue_max_size,queue_wait_ms,reason,status,timing_valid,timing_source,received_count,processed_count,failed_count,dropped_count,hydra_published_count,frame_fifo_size,frame_fifo_max_size,total_delay_ms,coordinator_delay_ms,classifier_delay_ms,sent_to_classifier_delay_ms,callback_enqueue_delay_ms,frame_queue_wait_ms,classifier_debug_record_delay_ms,image_conversion_delay_ms,sam_prepare_ms,sam_inference_ms,sam_restore_ms,sam_other_ms,sam_delay_ms,geometry_metadata_ms,frame_assignment_ms,track_association_ms,crop_update_ms,run_rap_other_ms,active_segments_publish_ms,semantic_dispatch_ms,quality_deferred_release_ms,rap_delay_ms,label_map_delay_ms,metadata_delay_ms,result_message_build_delay_ms,classifier_other_ms,hydra_build_delay_ms,hydra_depth_filter_ms,hydra_metadata_build_ms,hydra_build_other_ms,hydra_publish_delay_ms,unknown_publish_delay_ms,coordinator_other_ms,pipeline_wait_ms,num_masks,num_known,num_unknown,num_unknown_tracks,num_vlm_queued,unknown_track_id,candidate_id,track_seen_count,best_frame_score,predicted_label,label_confidence,mobility_class,mobility_confidence,vlm_delay_ms,total_age_ms,backend,model
rsg_object_detection,dropped_oldest,26,rsg_20260806_15_554880000_000026,,,0.0,frame_fifo_full,dropped,True,fifo_cached_frame,27,1,0,24,1,0,1,59.48899800569052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,27,rsg_20260806_15_604879999_000027,0,1,0.0,frame_fifo_full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,27,rsg_20260806_15_604879999_000027,,,0.0,frame_fifo_full,dropped,True,fifo_cached_frame,28,1,0,25,1,0,1,48.71329799789237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,28,rsg_20260806_15_654880000_000028,0,1,0.0,frame_fifo_full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,28,rsg_20260806_15_654880000_000028,,,0.0,frame_fifo_full,dropped,True,fifo_cached_frame,29,1,0,26,1,0,1,60.94293600472156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,29,rsg_20260806_15_704879999_000029,0,1,0.0,frame_fifo_full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,29,rsg_20260806_15_704879999_000029,,,0.0,frame_fifo_full,dropped,True,fifo_cached_frame,30,1,0,27,1,0,1,29.34501299750991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,30,rsg_20260806_15_754880000_000030,0,1,0.0,frame_fifo_full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,30,rsg_20260806_15_754880000_000030,,,0.0,frame_fifo_full,dropped,True,fifo_cached_frame,31,1,0,28,1,0,1,51.28551500092726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,31,rsg_20260806_15_804880000_000031,0,1,0.0,frame_fifo_full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,31,rsg_20260806_15_804880000_000031,,,0.0,frame_fifo_full,dropped,True,fifo_cached_frame,32,1,0,29,1,0,1,48.374245998275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,32,rsg_20260806_15_854879999_000032,0,1,0.0,frame_fifo_full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,32,rsg_20260806_15_854879999_000032,,,0.0,frame_fifo_full,dropped,True,fifo_cached_frame,33,1,0,30,1,0,1,57.339803999639116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsg_object_detection,frame_trace,20,rsg_20260806_15_254880000_000020,,,,ok,sent_to_hydra,,,,,,,,,,663.2452150006429,11.250468000071123,616.7055899932166,34.9563140043756,0.1398450040142052,34.816469000361394,0.0035199991543777287,0.8633899997221306,0.15510999946855009,267.30139799474273,20.0332989988965,0.005409005098044872,287.4952159982058,73.7868369978969,57.77565899916226,3.327571990666911,182.59526299516438,0.47713502135593444,1.2593710052897222,0.04278599953977391,0.00492799881612882,319.29611200030195,2.675260002433788,0.13523700181394815,6.209653998666909,0.030720992072019726,7.3434539954178035,6.822123003075831,0.08861099922796711,0.4327199931140058,3.2774249993963167,0.6251410013646819,0.00444800389232114,0.3293230038252659,8,0,8,0,0,,,,,,,,,,,,
rsg_object_detection,dropped_oldest,34,rsg_20260806_15_954879999_000034,0,1,0.0,frame_fifo_full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
